Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
1,,Samuel Chelanga,JR,Liberty,Individual,8:24,1,,14:10,1,,22:47,1,,28:41.3,Indiana State,504,850,1367,1721
2,1,David McNeill,JR,Northern Arizona,Team,8:35,2,1,14:38,2,1,23:25,2,1,29:06.5,Indiana State,515,878,1405,1747
3,2,Chris Derrick,SO,Stanford,Team,8:36,3,2,14:38,3,2,23:25,3,2,29:14.8,Indiana State,516,878,1405,1755
4,,Barnabas Kirui,JR,Mississippi,Individual,8:40,8,,14:38,4,,23:25,4,,29:24.1,Indiana State,520,878,1405,1764
5,3,Jordan Chipangama,JR,Northern Arizona,Team,8:42,23,18,14:42,5,3,23:39,5,3,29:33.1,Indiana State,522,882,1419,1773
6,4,Dorian Ulrey,JR,Arkansas,Team,8:41,11,9,14:47,15,13,23:45,9,7,29:37.9,Indiana State,521,887,1425,1778
7,5,Brandon Bethke,SR,Arizona State,Team,8:41,12,10,14:47,16,14,23:46,14,12,29:38.3,Indiana State,521,887,1426,1778
8,6,Andrew Bumbalough,SR,Georgetown,Team,8:41,13,11,14:46,11,9,23:46,13,11,29:39.1,Indiana State,521,886,1426,1779
9,7,Ryan Vail,SR,Oklahoma State,Team,8:42,24,19,14:47,19,17,23:45,11,9,29:40.7,Indiana State,522,887,1425,1781
10,8,Colby Lowe,SO,Oklahoma State,Team,8:42,25,20,14:48,24,21,23:42,6,4,29:42.4,Indiana State,522,888,1422,1782
11,9,Jacob Kirwa,SR,New Mexico,Team,8:41,14,12,14:47,17,15,23:45,10,8,29:46.1,Indiana State,521,887,1425,1786
12,10,Ryan Sheridan,SO,Iona,Team,8:36,4,3,14:44,6,4,23:46,12,10,29:47.4,Indiana State,516,884,1426,1787
13,11,John Kosgei,SR,Oklahoma State,Team,8:47,64,52,14:48,25,22,23:46,15,13,29:48.3,Indiana State,527,888,1426,1788
14,12,Alfred Kipchumba,SO,Portland,Team,8:47,65,53,14:51,35,30,23:52,20,18,29:50.1,Indiana State,527,891,1432,1790
15,13,Felix Kiboiywo,SR,Auburn,Team,8:39,6,5,14:44,7,5,23:45,7,5,29:50.3,Indiana State,519,884,1425,1790
16,14,Hassan Mead,JR,Minnesota,Team,8:40,9,7,14:44,9,7,23:45,8,6,29:50.7,Indiana State,520,884,1425,1791
17,15,Jon Grey,SR,William & Mary,Team,8:41,15,13,14:44,10,8,23:48,19,17,29:51.4,Indiana State,521,884,1428,1791
18,16,Ben Cheruiyot,SO,Auburn,Team,8:39,7,6,14:44,8,6,23:48,18,16,29:55.7,Indiana State,519,884,1428,1796
19,,Jeff Schirmer,SR,Southern Illinois,Individual,8:41,16,,14:48,22,,23:54,21,,30:00.2,Indiana State,521,888,1434,1800
20,,Evans Kigen,JR,Liberty,Individual,8:43,32,,14:50,28,,23:55,24,,30:01.0,Indiana State,523,890,1435,1801
21,17,Luke Puskedra,SO,Oregon,Team,8:41,17,14,14:46,12,10,23:47,16,14,30:01.9,Indiana State,521,886,1427,1802
22,18,Tyson David,SR,Alabama,Team,8:43,33,25,14:47,20,18,23:47,17,15,30:03.7,Indiana State,523,887,1427,1804
23,19,Ryan Hill,SO,NC State,Team,8:44,40,31,14:52,38,31,24:04,26,22,30:04.6,Indiana State,524,892,1444,1805
24,20,Cory Thorne,SR,Louisville,Team,8:40,10,8,14:47,14,12,23:57,25,21,30:05.3,Indiana State,520,887,1437,1805
25,21,Emmanuel Bor,SR,Alabama,Team,8:53,119,98,15:03,69,56,24:04,31,27,30:05.8,Indiana State,533,903,1444,1806
26,22,Moses Kiptoo,SO,Alabama,Team,8:49,75,61,14:58,60,49,24:04,30,26,30:08.6,Indiana State,529,898,1444,1809
27,23,Matthew Centrowitz,SO,Oregon,Team,8:46,54,42,14:54,42,35,24:04,28,24,30:09.5,Indiana State,526,894,1444,1810
28,24,Girma Mecheso,SO,Oklahoma State,Team,8:43,34,26,14:47,21,19,23:55,23,20,30:13.6,Indiana State,523,887,1435,1814
29,25,Kenny Klotz,SR,Oregon,Team,8:42,26,21,14:54,39,32,24:04,27,23,30:13.9,Indiana State,522,894,1444,1814
30,26,Mohammed Ahmed,FR,Wisconsin,Team,8:51,94,76,15:09,96,78,24:11,43,36,30:14.4,Indiana State,531,909,1451,1814
31,27,Danny Mercado,JR,Oregon,Team,8:46,55,43,14:54,43,36,24:04,29,25,30:15.4,Indiana State,526,894,1444,1815
32,28,Jeff See,SR,Ohio State,Team,8:51,95,77,15:05,73,60,24:17,51,42,30:16.6,Indiana State,531,905,1457,1817
