Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
33,29,Michael Krisch,SR,Georgetown,Team,8:44,41,32,14:51,32,27,24:05,32,28,30:18.3,Indiana State,524,891,1445,1818
34,30,Patterson Wilhelm,JR,William & Mary,Team,8:43,35,27,14:55,46,39,24:08,38,31,30:18.9,Indiana State,523,895,1448,1819
35,31,Alexander Soderberg,SO,Iona,Team,8:48,69,57,15:03,66,54,24:13,44,37,30:19.3,Indiana State,528,903,1453,1819
36,32,Mathew Mildenhall,FR,Villanova,Team,8:42,27,22,14:49,26,23,24:07,34,29,30:19.4,Indiana State,522,889,1447,1819
37,33,Elliott Heath,JR,Stanford,Team,8:41,18,15,14:48,23,20,24:09,39,32,30:19.4,Indiana State,521,888,1449,1819
38,,Mohamud Ige,SR,Arizona,Individual,8:41,19,,14:52,36,,24:08,36,,30:20.2,Indiana State,521,892,1448,1820
39,34,Tito Medrano,SO,Syracuse,Team,8:51,96,78,15:05,74,61,24:18,53,44,30:20.7,Indiana State,531,905,1458,1821
40,35,Colin Leak,SR,William & Mary,Team,8:51,97,79,15:08,89,73,24:19,55,46,30:21.4,Indiana State,531,908,1459,1821
41,36,Ryan Collins,SO,Virginia,Team,8:43,36,28,14:55,47,40,24:14,45,38,30:22.0,Indiana State,523,895,1454,1822
42,,Daniel Chenoweth,JR,Harvard,Individual,8:45,49,,14:56,52,,24:05,33,,30:23.6,Indiana State,525,896,1445,1824
43,37,Hillary Bor,JR,Iowa State,Team,8:47,66,54,14:54,44,37,24:10,40,33,30:24.2,Indiana State,527,894,1450,1824
44,38,Christian Thompson,SO,Colorado,Team,8:55,138,111,15:12,115,93,24:29,77,64,30:24.6,Indiana State,535,912,1469,1825
45,39,Fred Samoei,JR,Alabama,Team,8:51,98,80,15:05,75,62,24:25,67,57,30:25.2,Indiana State,531,905,1465,1825
46,,John Beattie,SR,Tulsa,Individual,8:50,82,,15:02,64,,24:16,49,,30:25.9,Indiana State,530,902,1456,1826
47,40,Yonas Mebrahtu,SO,Iowa State,Team,8:46,56,44,14:57,54,43,24:07,35,30,30:27.2,Indiana State,526,897,1447,1827
48,41,Solomon Haile,FR,Arkansas,Team,8:44,42,33,15:09,94,77,24:31,83,68,30:27.8,Indiana State,524,909,1471,1828
49,42,Craig Miller,SR,Wisconsin,Team,8:51,99,81,15:09,97,79,24:22,64,54,30:29.0,Indiana State,531,909,1462,1829
50,,Scott Smith,SR,UCSB,Individual,8:45,50,,14:55,49,,24:15,46,,30:29.1,Indiana State,525,895,1455,1829
51,43,Matt Leeder,JR,Florida State,Team,8:46,57,45,14:57,55,44,24:11,42,35,30:29.5,Indiana State,526,897,1451,1830
52,44,Lee Carey,SO,Providence,Team,8:44,43,34,14:56,51,42,24:19,54,45,30:29.7,Indiana State,524,896,1459,1830
53,45,Lewis Woodard,JR,William & Mary,Team,8:52,108,89,15:09,99,81,24:19,56,47,30:30.2,Indiana State,532,909,1459,1830
54,46,Jake Riley,SO,Stanford,Team,8:46,63,51,14:57,57,46,00:00,250,212,30:30.5,Indiana State,526,897,0,1830
55,,Jonah Lagat,SR,Oral Roberts,Individual,8:52,109,,15:08,91,,24:25,68,,30:30.8,Indiana State,532,908,1465,1831
56,47,Jeff Scull,SR,Syracuse,Team,8:46,58,46,14:57,56,45,24:17,50,41,30:31.4,Indiana State,526,897,1457,1831
57,48,Richard Medina,JR,Colorado,Team,8:53,120,99,15:08,93,76,24:15,47,39,30:31.5,Indiana State,533,908,1455,1831
58,,David Rooney,JR,McNeese State,Individual,8:50,83,,15:09,95,,24:29,74,,30:32.6,Indiana State,530,909,1469,1833
59,49,Ben Ashkettle,JR,Northern Arizona,Team,8:48,70,58,15:03,67,55,24:27,71,59,30:32.7,Indiana State,528,903,1467,1833
60,50,Rich Nelson,SR,BYU,Team,8:44,44,35,14:58,59,48,24:22,62,52,30:33.7,Indiana State,524,898,1462,1834
61,51,Diego Mercado,JR,Oregon,Team,8:46,59,47,15:04,71,58,24:21,59,49,30:34.4,Indiana State,526,904,1461,1834
62,52,Kevin Schwab,SO,Oklahoma,Team,9:01,182,147,15:20,151,120,24:33,93,74,30:34.7,Indiana State,541,920,1473,1835
63,53,Rory Fraser,SR,New Mexico,Team,8:42,28,23,15:00,61,50,24:24,66,56,30:35.2,Indiana State,522,900,1464,1835
64,54,Tommy Gruenewald,SO,BYU,Team,8:46,60,48,15:08,82,67,24:35,95,76,30:35.2,Indiana State,526,908,1475,1835
65,55,Kelly Spady,SR,Washington,Team,8:44,45,36,14:55,48,41,24:22,61,51,30:35.9,Indiana State,524,895,1462,1836
66,56,Dominic Channon,SO,Providence,Team,8:50,84,67,15:08,87,71,24:31,82,67,30:36.6,Indiana State,530,908,1471,1837
67,57,Joash Osoro,FR,Portland,Team,8:45,51,40,14:51,34,29,23:54,22,19,30:36.6,Indiana State,525,891,1434,1837
68,58,Emil Heineking,JR,Virginia,Team,8:37,5,4,14:47,13,11,24:18,52,43,30:36.7,Indiana State,517,887,1458,1837
69,,Brian McKenna,JR,Utah State,Individual,8:58,157,,15:14,125,,24:29,78,,30:36.8,Indiana State,538,914,1469,1837
70,59,Andrew Wacker,SO,Colorado,Team,8:54,131,106,15:09,102,83,24:28,73,61,30:37.0,Indiana State,534,909,1468,1837
71,,Justin Tyner,JR,Air Force,Individual,8:57,149,,15:14,124,,24:31,87,,30:37.6,Indiana State,537,914,1471,1838
72,60,Colton Tully-Doyle,SR,Washington,Team,8:44,46,37,14:54,40,33,24:20,57,48,30:38.8,Indiana State,524,894,1460,1839
73,61,Robert Sorrell,JR,Oklahoma,Team,9:01,183,148,15:20,152,121,24:34,94,75,30:39.3,Indiana State,541,920,1474,1839
74,62,Ahmed Osman,SO,Northern Arizona,Team,8:56,143,116,15:12,116,94,24:31,85,70,30:39.3,Indiana State,536,912,1471,1839
75,63,Elliot Krause,SO,Wisconsin,Team,8:51,100,82,15:08,90,74,24:26,70,58,30:39.7,Indiana State,531,908,1466,1840
76,64,Trevor Dunbar,FR,Portland,Team,8:51,101,83,15:02,65,53,24:22,63,53,30:41.8,Indiana State,531,902,1462,1842
77,65,Matthew Bayley,SO,Iona,Team,8:53,121,100,15:11,112,91,24:31,84,69,30:42.3,Indiana State,533,911,1471,1842
78,,Andy Baker,SR,Butler,Individual,8:42,29,,14:57,53,,24:21,58,,30:42.7,Indiana State,522,897,1461,1843
79,,Zac Edwards,SO,South Alabama,Individual,8:53,122,,15:09,100,,24:33,92,,30:43.2,Indiana State,533,909,1473,1843
80,66,Joseph Bosshard,FR,Colorado,Team,8:57,150,122,15:13,121,98,24:31,86,71,30:44.8,Indiana State,537,913,1471,1845
81,67,Daniel Lewis,SR,Villanova,Team,8:51,102,84,15:07,81,66,24:32,90,72,30:46.4,Indiana State,531,907,1472,1846
82,68,Jeff Helmer,JR,Arizona State,Team,8:53,123,101,15:09,101,82,24:29,75,62,30:46.7,Indiana State,533,909,1469,1847
83,69,Micheal Eaton,SR,Louisville,Team,8:52,110,90,15:05,76,63,24:31,81,66,30:47.6,Indiana State,532,905,1471,1848
84,70,David McCarthy,JR,Providence,Team,8:44,47,38,14:51,33,28,24:22,60,50,30:47.6,Indiana State,524,891,1462,1848
85,71,Hugo Beamish,JR,Villanova,Team,8:43,37,29,14:49,27,24,24:11,41,34,30:48.4,Indiana State,523,889,1451,1848
86,,Francis Kasagule,SR,Lamar,Individual,8:43,38,,14:52,37,,24:08,37,,30:49.2,Indiana State,523,892,1448,1849
87,,Wesley Ruttoh,JR,Eastern Kentucky,Individual,8:48,71,,15:10,103,,24:35,96,,30:49.5,Indiana State,528,910,1475,1850
88,,Alex Lundy,JR,Maryland,Individual,8:52,111,,15:10,106,,24:30,80,,30:49.5,Indiana State,532,910,1470,1850
89,72,Taylor Williams,SO,Ohio State,Team,8:59,165,135,15:19,144,114,24:42,111,89,30:49.8,Indiana State,539,919,1482,1850
90,,Thibault Vandenabeele,FR,Northern Iowa,Individual,9:02,191,,15:24,165,,24:47,124,,30:50.4,Indiana State,542,924,1487,1850
91,,Patrick Cheptoek,SR,Wn Kentucky,Individual,8:42,30,,14:56,50,,24:26,69,,30:50.4,Indiana State,522,896,1466,1850
92,73,Julius Bor,JR,Alabama,Team,8:49,76,62,14:57,58,47,24:30,79,65,30:50.9,Indiana State,529,897,1470,1851
93,,Nate Edelman,JR,Cornell,Individual,8:54,132,,15:12,114,,24:38,106,,30:51.2,Indiana State,534,912,1478,1851
94,74,Matt Bruce,JR,Louisville,Team,8:52,112,91,15:10,107,86,24:32,91,73,30:52.2,Indiana State,532,910,1472,1852
95,75,Jason Pedersen,JR,Northern Arizona,Team,8:55,139,112,15:11,113,92,24:38,105,85,30:52.3,Indiana State,535,911,1478,1852
96,76,Landon Peacock,JR,Wisconsin,Team,8:52,113,92,15:08,92,75,24:36,97,77,30:52.4,Indiana State,532,908,1476,1852
97,77,German Fernandez,SO,Oklahoma State,Team,8:50,85,68,15:08,88,72,24:42,110,88,30:53.9,Indiana State,530,908,1482,1854
98,,Micah Tirop,SR,South Alabama,Individual,8:41,20,,14:51,29,,24:32,88,,30:57.2,Indiana State,521,891,1472,1857
99,78,Bill Kogel,FR,Oklahoma,Team,9:03,199,161,15:25,172,136,24:46,119,94,30:57.5,Indiana State,543,925,1486,1857
100,,Nicodemus Ng’etich,SR,UTEP,Individual,8:51,103,,15:03,68,,24:32,89,,30:57.6,Indiana State,531,903,1472,1858
101,79,Habben Berhane,SR,Texas,Team,9:04,205,167,15:23,161,128,24:37,99,79,30:57.8,Indiana State,544,923,1477,1858
102,,Elkana Rotich,FR,UTEP,Individual,8:59,166,,15:20,150,,24:42,112,,30:59.2,Indiana State,539,920,1482,1859
103,80,David Chirchir,SR,Oklahoma State,Team,8:50,86,69,15:06,78,64,24:27,72,60,30:59.6,Indiana State,530,906,1467,1860
104,81,Jake Schmitt,SR,Washington,Team,8:47,67,55,15:08,83,68,24:38,102,82,30:59.8,Indiana State,527,908,1478,1860
105,82,Kevin Williams,FR,Oklahoma,Team,9:04,206,168,15:27,182,146,24:46,120,95,31:00.2,Indiana State,544,927,1486,1860
106,83,A.J. Acosta,SR,Oregon,Team,8:54,133,107,15:10,108,87,24:41,109,87,31:01.0,Indiana State,534,910,1481,1861
107,84,Tommy Betterbed,SR,Portland,Team,8:51,104,85,15:09,98,80,24:40,108,86,31:01.2,Indiana State,531,909,1480,1861
108,85,Chris Barnicle,SR,New Mexico,Team,8:42,31,24,14:51,30,25,24:16,48,40,31:01.4,Indiana State,522,891,1456,1861
109,86,John Martinez,SR,NC State,Team,8:57,151,123,15:10,109,88,24:29,76,63,31:03.0,Indiana State,537,910,1469,1863
110,,Joe Gatel,SR,Cal Poly,Individual,8:50,87,,15:13,118,,24:45,117,,31:03.2,Indiana State,530,913,1485,1863
111,87,Nate Ogden,JR,BYU,Team,8:49,77,63,15:13,117,95,24:46,118,93,31:03.2,Indiana State,529,913,1486,1863
112,88,Josh Brewer,JR,Duke,Team,9:04,207,169,15:25,173,137,24:48,126,99,31:03.7,Indiana State,544,925,1488,1864
113,89,Daniel Roberts,SR,Florida State,Team,8:47,68,56,15:02,63,52,24:38,100,80,31:04.0,Indiana State,527,902,1478,1864
114,90,Bobby Papazian,SR,Villanova,Team,8:57,152,124,15:18,140,110,24:49,127,100,31:04.2,Indiana State,537,918,1489,1864
115,91,Lee Emanuel,SR,New Mexico,Team,8:55,140,113,15:19,142,112,24:50,128,101,31:04.8,Indiana State,535,919,1490,1865
116,92,Ben Blankenship,JR,Minnesota,Team,8:50,88,70,15:13,119,96,24:44,116,92,31:05.1,Indiana State,530,913,1484,1865
117,93,Miles Unterreiner,FR,Stanford,Team,8:49,78,64,15:10,104,84,24:43,113,90,31:05.3,Indiana State,529,910,1483,1865
118,94,Andrew Kirwa,JR,Alabama,Team,8:49,79,65,15:04,72,59,24:37,98,78,31:05.7,Indiana State,529,904,1477,1866
119,95,Forrest Misenti,FR,Syracuse,Team,8:50,89,71,15:11,110,89,24:43,114,91,31:06.7,Indiana State,530,911,1483,1867
120,96,Matt Barrett,SR,Minnesota,Team,8:56,144,117,15:18,139,109,24:47,123,97,31:07.8,Indiana State,536,918,1487,1868
121,97,Dan Busby,SR,Syracuse,Team,8:51,105,86,15:15,130,103,24:52,131,103,31:07.9,Indiana State,531,915,1492,1868
122,98,Sintayehu Taye,FR,Virginia,Team,8:53,124,102,15:17,133,105,24:53,134,105,31:08.8,Indiana State,533,917,1493,1869
123,,Rob Speare,JR,Princeton,Individual,8:53,130,,15:14,123,,24:39,107,,31:09.5,Indiana State,533,914,1479,1870
124,99,Matthew Gibney,JR,Villanova,Team,8:51,106,87,15:10,105,85,24:48,125,98,31:09.8,Indiana State,531,910,1488,1870
125,100,Jason Weller,JR,Iona,Team,8:45,52,41,15:04,70,57,24:38,101,81,31:10.3,Indiana State,525,904,1478,1870
126,101,Zach Gates,FR,William & Mary,Team,8:57,153,125,15:25,167,132,24:51,130,102,31:10.6,Indiana State,537,925,1491,1871
127,102,Rory Tunningley,SO,Texas,Team,8:57,154,126,15:19,143,113,24:53,137,107,31:11.6,Indiana State,537,919,1493,1872
128,103,Guor Marial,SR,Iowa State,Team,8:43,39,30,14:51,31,26,24:54,139,109,31:12.1,Indiana State,523,891,1494,1872
129,,Jake Walker,SR,Notre Dame,Individual,8:54,134,,15:16,131,,24:58,148,,31:12.5,Indiana State,534,916,1498,1872
130,104,Aric Vanhalen,FR,Colorado,Team,9:05,213,175,15:32,198,161,25:00,157,125,31:13.0,Indiana State,545,932,1500,1873
131,,Joe Sauvageau,SR,Texas A&M,Individual,8:53,125,,15:17,134,,24:53,135,,31:13.6,Indiana State,533,917,1493,1874
132,,Caden Shields,JR,Purdue,Individual,9:00,174,,15:24,164,,24:54,142,,31:13.8,Indiana State,540,924,1494,1874
133,105,Graham Tribble,JR,Virginia,Team,8:52,114,93,15:11,111,90,24:38,104,84,31:13.9,Indiana State,532,911,1478,1874
134,,Vince McNally,SO,Penn State,Individual,9:00,175,,15:14,126,,24:47,122,,31:14.0,Indiana State,540,914,1487,1874
135,106,Pieter Gagnon,FR,Minnesota,Team,8:57,155,127,15:18,141,111,24:53,136,106,31:15.1,Indiana State,537,918,1493,1875
136,107,Patrick Milloy,JR,Arizona State,Team,8:55,141,114,15:20,147,117,24:52,132,104,31:15.7,Indiana State,535,920,1492,1876
137,,Andrew Poore,SO,Indiana,Individual,8:48,72,,15:06,77,,24:44,115,,31:16.4,Indiana State,528,906,1484,1876
138,108,Isaiah Vandoorne,SO,Michigan State,Team,9:01,184,149,15:28,185,149,25:02,162,130,31:16.5,Indiana State,541,928,1502,1877
139,109,Jory Zunich,SR,Iowa State,Team,9:02,192,155,15:31,193,156,25:00,156,124,31:16.8,Indiana State,542,931,1500,1877
140,110,Levi Miller,SR,Georgetown,Team,8:48,73,59,15:08,84,69,24:38,103,83,31:17.6,Indiana State,528,908,1478,1878
141,111,Trey Miller,JR,Virginia,Team,9:02,193,156,15:25,170,135,24:56,145,114,31:18.1,Indiana State,542,925,1496,1878
142,112,David Bishop,SR,New Mexico,Team,8:52,115,94,15:18,137,108,24:58,149,117,31:19.1,Indiana State,532,918,1498,1879
143,113,Clay Mayes,JR,Oklahoma,Team,9:07,228,190,15:32,199,162,24:57,147,116,31:19.4,Indiana State,547,932,1497,1879
144,114,Maverick Darling,FR,Wisconsin,Team,8:51,107,88,15:13,120,97,24:54,141,111,31:20.3,Indiana State,531,913,1494,1880
145,115,Adam Green,SO,Ohio State,Team,8:59,167,136,15:19,145,115,24:53,138,108,31:21.1,Indiana State,539,919,1493,1881
146,,Festus Chemaoi,JR,Mid. Tenn. State,Individual,8:59,168,,15:22,155,,24:52,133,,31:21.1,Indiana State,539,922,1492,1881
147,116,Jean-Pierre Weerts,SR,Auburn,Team,8:50,90,72,15:07,80,65,24:54,140,110,31:21.5,Indiana State,530,907,1494,1882
148,117,James Kostelnik,SO,Duke,Team,9:05,214,176,15:29,189,152,25:00,155,123,31:21.6,Indiana State,545,929,1500,1882
149,118,Andrew Belus,SO,Northern Arizona,Team,8:56,145,118,15:23,157,125,24:59,151,119,31:21.7,Indiana State,536,923,1499,1882
150,119,Ross Millington,FR,New Mexico,Team,9:02,194,157,15:36,213,175,25:07,177,142,31:23.2,Indiana State,542,936,1507,1883
151,,Eric Schulz,SR,Indiana State,Individual,9:02,195,,15:25,171,,25:05,169,,31:23.7,Indiana State,542,925,1505,1884
152,,Joshua Sawe,SR,McNeese State,Individual,8:45,53,,15:07,79,,24:51,129,,31:24.1,Indiana State,525,907,1491,1884
153,120,Jack Bolas,SR,Wisconsin,Team,8:56,146,119,15:20,148,118,25:03,164,132,31:24.4,Indiana State,536,920,1503,1884
154,121,Bobby Moldovan,SO,NC State,Team,8:59,169,137,15:25,169,134,25:02,161,129,31:25.1,Indiana State,539,925,1502,1885
155,122,Brock Simmons,SO,Texas,Team,9:05,215,177,15:31,194,157,25:06,171,137,31:25.1,Indiana State,545,931,1506,1885
156,123,Johnathan Stublaski,SO,Oklahoma State,Team,8:52,116,95,15:17,132,104,25:02,160,128,31:25.2,Indiana State,532,917,1502,1885
157,124,Josh Lund,JR,Duke,Team,9:04,208,170,15:26,180,144,25:00,154,122,31:25.2,Indiana State,544,926,1500,1885
158,125,Patrick Grosskopf,SR,Michigan State,Team,8:54,135,108,15:17,135,106,24:57,146,115,31:25.7,Indiana State,534,917,1497,1886
159,126,Cameron Quackenbush,SO,Washington,Team,9:00,176,141,15:29,187,150,25:07,175,140,31:26.4,Indiana State,540,929,1507,1886
160,127,James Osborne,SR,Duke,Team,9:05,216,178,15:31,195,158,25:02,163,131,31:27.2,Indiana State,545,931,1502,1887
161,128,Keith Gerrard,JR,New Mexico,Team,8:53,126,103,15:20,146,116,25:01,158,126,31:27.5,Indiana State,533,920,1501,1888
162,129,Matthew Tebo,JR,Colorado,Team,8:58,158,129,15:21,153,122,25:00,153,121,31:27.8,Indiana State,538,921,1500,1888
163,130,Josh McAlary,SO,Michigan State,Team,9:11,238,200,15:37,218,180,24:59,152,120,31:27.9,Indiana State,551,937,1499,1888
164,131,Andrew Revelle,JR,Virginia,Team,9:05,217,179,15:34,205,168,25:09,181,146,31:28.6,Indiana State,545,934,1509,1889
165,132,Griff Graves,SO,Syracuse,Team,8:52,117,96,15:14,122,99,24:55,143,112,31:28.9,Indiana State,532,914,1495,1889
166,133,Donald Roys,FR,Ohio State,Team,9:00,177,142,15:31,192,155,25:07,176,141,31:28.9,Indiana State,540,931,1507,1889
167,,Madison Roeder,JR,Butler,Individual,9:01,185,,15:28,186,,25:05,170,,31:29.4,Indiana State,541,928,1505,1889
168,134,Patrick Dupont,SO,Syracuse,Team,8:50,91,73,15:15,128,101,24:59,150,118,31:30.2,Indiana State,530,915,1499,1890
169,135,Christopher Olinger,SR,Ohio State,Team,9:00,178,143,15:26,177,141,25:04,166,134,31:30.6,Indiana State,540,926,1504,1891
170,136,Spencer Beatty,SR,Michigan State,Team,8:58,159,130,15:25,168,133,25:05,168,136,31:30.8,Indiana State,538,925,1505,1891
171,137,Miles Batty,SO,BYU,Team,8:41,21,16,14:47,18,16,24:23,65,55,31:32.1,Indiana State,521,887,1463,1892
172,138,Patten Van,JR,Arizona State,Team,9:06,222,184,15:31,196,159,25:09,180,145,31:34.2,Indiana State,546,931,1509,1894
173,139,Patrick Campbell,FR,NC State,Team,8:58,160,131,15:23,158,126,24:56,144,113,31:34.5,Indiana State,538,923,1496,1895
174,140,Brandon Hebbert,SR,BYU,Team,8:41,22,17,14:55,45,38,24:47,121,96,31:36.5,Indiana State,521,895,1487,1897
175,141,Joel Limo,SO,Iowa State,Team,9:04,209,171,15:27,183,147,25:07,174,139,31:37.4,Indiana State,544,927,1507,1897
176,142,Julian Matthews,SO,Providence,Team,9:00,179,144,15:27,181,145,25:07,173,138,31:38.6,Indiana State,540,927,1507,1899
177,143,Clayton Carper,JR,Iowa State,Team,9:02,196,158,15:30,190,153,25:14,182,147,31:38.9,Indiana State,542,930,1514,1899
178,144,Josh Hibbs,JR,Iona,Team,8:58,161,132,15:23,159,127,25:05,167,135,31:39.4,Indiana State,538,923,1505,1899
179,145,Jordan McNamara,SR,Oregon,Team,8:46,61,49,15:01,62,51,25:02,159,127,31:40.3,Indiana State,526,901,1502,1900
180,146,Bradley Lowry,JR,Texas,Team,9:01,186,150,15:26,178,142,25:08,178,143,31:40.8,Indiana State,541,926,1508,1901
181,147,Ciaran O’Lionard,JR,Florida State,Team,8:53,127,104,15:22,154,123,25:25,205,168,31:41.2,Indiana State,533,922,1525,1901
182,,Mike Stolar,JR,Duquesne,Individual,8:58,162,,15:36,211,,25:21,197,,31:41.2,Indiana State,538,936,1521,1901
183,148,Max O’Donoghue-Mcdonald,SO,Washington,Team,9:05,218,180,15:34,206,169,25:18,192,156,31:42.0,Indiana State,545,934,1518,1902
184,149,Stephen Clark,SO,Duke,Team,9:04,210,172,15:33,203,166,25:17,191,155,31:43.0,Indiana State,544,933,1517,1903
185,150,Jeremy Sudbury,JR,Oklahoma,Team,9:03,200,162,15:30,191,154,25:17,190,154,31:44.6,Indiana State,543,930,1517,1905
186,151,Fout Mike,SO,Florida State,Team,9:06,223,185,15:37,217,179,25:16,186,150,31:46.3,Indiana State,546,937,1516,1906
187,152,Scott Novack,SR,Auburn,Team,8:56,147,120,15:26,176,140,25:17,188,152,31:46.5,Indiana State,536,926,1517,1906
188,153,Sean Keveren,FR,Virginia,Team,9:05,219,181,15:34,207,170,25:24,204,167,31:47.1,Indiana State,545,934,1524,1907
189,154,Dylan Hatcher,SO,Arizona State,Team,9:03,201,163,15:35,208,171,25:23,200,163,31:47.9,Indiana State,543,935,1523,1908
190,155,Ben Miller,FR,Michigan State,Team,9:01,187,151,15:29,188,151,25:17,189,153,31:48.3,Indiana State,541,929,1517,1908
191,156,Brian Rhodes-Devey,SO,Texas,Team,8:53,128,105,15:28,184,148,25:25,206,169,31:49.5,Indiana State,533,928,1525,1909
192,157,Bo Waggoner,JR,Duke,Team,9:01,188,152,15:26,179,143,25:09,179,144,31:52.6,Indiana State,541,926,1509,1913
193,158,Matt Hughes,JR,Louisville,Team,9:02,197,159,15:37,216,178,25:33,214,177,31:53.1,Indiana State,542,937,1533,1913
194,159,Ryan Merriman,SR,BYU,Team,8:49,80,66,15:15,127,100,25:04,165,133,31:53.3,Indiana State,529,915,1504,1913
195,160,Ryan Gasper,SR,Wisconsin,Team,8:56,148,121,15:20,149,119,25:16,185,149,31:53.7,Indiana State,536,920,1516,1914
196,161,Simon Gilna,SR,Northern Arizona,Team,9:00,180,145,15:33,200,163,25:22,198,161,31:54.8,Indiana State,540,933,1522,1915
197,162,Rio Reina,SR,Arkansas,Team,9:06,224,186,15:35,210,173,25:23,201,164,31:55.3,Indiana State,546,935,1523,1915
