Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
219,181,Tom Webb,SO,Providence,Team,9:18,244,206,16:08,245,207,26:08,235,197,32:36.2,Indiana State,558,968,1568,1956
220,182,Mark Fruin,JR,Indiana,Team,9:11,218,180,15:52,226,188,26:00,225,187,32:36.3,Indiana State,551,952,1560,1956
221,183,Brian Ehlis,SR,Oklahoma State,Team,9:16,238,200,15:55,229,191,26:00,226,188,32:36.6,Indiana State,556,955,1560,1957
222,184,Leif Anderson,SO,Cal Poly,Team,9:12,224,186,15:56,232,194,26:02,228,190,32:38.7,Indiana State,552,956,1562,1959
223,185,Dan Jackson,FR,Notre Dame,Team,9:08,196,161,15:52,225,187,25:59,223,185,32:39.6,Indiana State,548,952,1559,1960
224,186,Chase Pizzonia,JR,Iona,Team,9:10,212,174,15:43,208,171,25:35,209,173,32:39.7,Indiana State,550,943,1535,1960
225,187,Brian Long,FR,Villanova,Team,9:07,185,151,15:48,217,179,25:50,220,182,32:39.8,Indiana State,547,948,1550,1960
226,188,Taylor Candella,SO,Ohio State,Team,9:09,204,166,15:54,227,189,26:03,231,193,32:40.2,Indiana State,549,954,1563,1960
227,189,Thad Schroeder,SR,Louisville,Team,9:15,236,198,16:00,236,198,26:02,229,191,32:41.7,Indiana State,555,960,1562,1962
228,190,Matt Smith,SO,Louisville,Team,9:12,225,187,15:50,222,184,25:50,221,183,32:43.4,Indiana State,552,950,1550,1963
229,191,Jay Matlack,SR,Tulsa,Team,9:18,245,207,16:00,237,199,26:02,230,192,32:47.8,Indiana State,558,960,1562,1968
230,192,Garrett Kelly,SO,Arizona State,Team,9:13,233,195,15:55,228,190,26:01,227,189,32:50.2,Indiana State,553,955,1561,1970
231,193,Aggrey Chirchir,SO,UTEP,Team,9:10,213,175,15:57,233,195,26:07,234,196,32:54.2,Indiana State,550,957,1567,1974
232,194,Richard Newton,JR,Iowa State,Team,9:19,247,209,16:05,243,205,26:16,238,200,32:54.6,Indiana State,559,965,1576,1975
233,195,Michael Anderson,SO,Providence,Team,9:16,239,201,16:04,240,202,26:14,236,198,32:57.5,Indiana State,556,964,1574,1978
234,196,Geoffrey Doody,SR,Villanova,Team,9:09,205,167,16:00,235,197,26:15,237,199,32:59.2,Indiana State,549,960,1575,1979
235,197,Brett Turowski,SR,Tulsa,Team,9:18,246,208,16:05,242,204,26:16,239,201,32:59.5,Indiana State,558,965,1576,1980
236,198,Brandon Rooney,JR,Iowa State,Team,9:13,234,196,16:01,238,200,26:06,233,195,32:59.8,Indiana State,553,961,1566,1980
237,199,Elliott Heath,FR,Stanford,Team,9:03,127,97,15:44,211,174,25:59,224,186,33:00.9,Indiana State,543,944,1559,1981
238,200,Andy Arnio,FR,Ohio State,Team,9:12,226,188,16:05,241,203,26:31,243,205,33:09.5,Indiana State,552,965,1591,1990
239,201,Max Smith,SR,Providence,Team,9:00,85,61,15:38,186,151,26:05,232,194,33:10.5,Indiana State,540,938,1565,1990
240,202,Kyle Miller,JR,Texas,Team,9:08,197,162,15:48,218,180,26:17,241,203,33:14.5,Indiana State,548,948,1577,1995
241,203,Keith Capecci,FR,Villanova,Team,9:10,214,176,15:56,230,192,26:21,242,204,33:16.7,Indiana State,550,956,1581,1997
242,204,Christopher Olinger,SO,Ohio State,Team,9:11,219,181,15:57,234,196,26:16,240,202,33:17.6,Indiana State,551,957,1576,1998
243,205,Joe Purpura,SO,Alabama,Team,9:22,250,212,16:17,248,210,26:32,244,206,33:29.1,Indiana State,562,977,1592,2009
244,206,Jacob Rich,FR,Indiana,Team,9:19,248,210,16:17,247,209,26:42,245,207,33:52.7,Indiana State,559,977,1602,2033
245,207,Paul Guevara,SR,Alabama,Team,9:21,249,211,16:23,249,211,27:02,247,209,33:57.7,Indiana State,561,983,1622,2038
246,208,Ryan Wilson,SR,Texas,Team,9:08,198,163,16:04,239,201,26:58,246,208,34:00.2,Indiana State,548,964,1618,2040
247,209,Nick Sunseri,JR,Florida State,Team,9:16,240,202,16:27,250,212,27:19,249,211,34:29.0,Indiana State,556,987,1639,2069
248,210,Duncan Phillips,FR,Arkansas,Team,9:14,235,197,16:08,244,206,27:07,248,210,34:35.0,Indiana State,554,968,1627,2075
249,211,Colin Leak,SO,William & Mary,Team,9:11,220,182,16:14,246,208,27:31,250,212,34:51.5,Indiana State,551,974,1651,2092
250,212,Ayalew Taye,FR,Georgetown,Team,9:04,142,110,15:26,129,102,25:02,139,110,37:39.0,Indiana State,544,926,1502,2259
