Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
75,61,Jon Cardenas,SR,Northern Arizona,Team,8:59,61,46,15:15,61,45,24:38,86,69,30:57.3,Indiana State,539,915,1478,1857
76,62,Jake Watson,SR,Notre Dame,Team,9:05,145,112,15:21,89,68,24:30,55,43,30:58.5,Indiana State,545,921,1470,1859
77,,Mohamed Mohamed,JR,Southern Illinois,Individual,9:01,91,,15:14,57,,24:35,71,,30:58.9,Indiana State,541,914,1475,1859
78,63,Tibor Vegh,SR,NC State,Team,9:02,106,78,15:21,87,66,24:32,62,50,30:59.1,Indiana State,542,921,1472,1859
79,64,John Ealy,SR,Ohio State,Team,9:03,120,90,15:23,103,79,24:46,98,77,30:59.5,Indiana State,543,923,1486,1859
80,65,Andrew Lacy,SO,Wisconsin,Team,9:06,155,122,15:25,125,98,24:45,94,74,31:00.0,Indiana State,546,925,1485,1860
81,66,Lex Williams,JR,Michigan,Team,8:58,47,35,15:12,43,33,24:32,63,51,31:00.0,Indiana State,538,912,1472,1860
82,67,David Jankowski,SR,Oklahoma State,Team,9:05,146,113,15:24,113,86,24:35,72,57,31:00.1,Indiana State,545,924,1475,1860
83,,Sage Canaday,SR,Cornell,Individual,9:07,167,,15:27,137,,24:43,89,,31:00.3,Indiana State,547,927,1483,1860
84,68,David McCarthy,FR,Providence,Team,9:04,129,99,15:27,136,107,24:46,99,78,31:00.6,Indiana State,544,927,1486,1861
85,,Micah Tirop,JR,South Alabama,Individual,8:58,48,,15:13,50,,24:35,73,,31:01.8,Indiana State,538,913,1475,1862
86,69,Justin Scheid,JR,Georgetown,Team,9:01,92,66,15:23,98,74,24:46,100,79,31:02.2,Indiana State,541,923,1486,1862
87,70,Kenyon Neuman,SO,Colorado,Team,9:05,147,114,15:24,114,87,24:36,80,64,31:02.4,Indiana State,545,924,1476,1862
88,71,Kiel Uhl,JR,Iowa State,Team,9:01,93,67,15:17,69,52,24:30,56,44,31:02.6,Indiana State,541,917,1470,1863
89,72,Christian Wagner,JR,Wisconsin,Team,9:06,156,123,15:24,117,90,24:45,95,75,31:03.6,Indiana State,546,924,1485,1864
90,73,Hakon Devries,JR,Stanford,Team,9:02,107,79,15:21,88,67,24:47,104,82,31:04.2,Indiana State,542,921,1487,1864
91,74,Jeff Helmer,SO,Arizona State,Team,9:05,148,115,15:24,115,88,24:46,101,80,31:04.4,Indiana State,545,924,1486,1864
92,75,Bradley Harkrader,JR,Colorado,Team,9:08,188,154,15:29,149,117,24:44,92,73,31:04.6,Indiana State,548,929,1484,1865
93,76,Stephen Furst,SR,NC State,Team,9:01,94,68,15:24,108,82,24:51,113,89,31:04.7,Indiana State,541,924,1491,1865
94,77,Steeve Gabart,JR,Florida State,Team,9:03,121,91,15:24,112,85,24:46,102,81,31:04.9,Indiana State,543,924,1486,1865
95,78,Troy Swier,JR,Cal Poly,Team,9:07,168,134,15:24,119,92,24:38,87,70,31:05.4,Indiana State,547,924,1478,1865
96,,Kyle Shackleton,SR,UCLA,Individual,9:01,95,,15:24,109,,24:49,106,,31:06.0,Indiana State,541,924,1489,1866
